slice_index,low_density_strut_count,strut_ids
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,0,
20,0,
21,0,
22,0,
23,0,
24,1,1765
25,89,882;883;885;907;1101;1104;1105;1109;1128;1321;1322;1323;1324;1325;1329;1333;1347;1348;1367;1463;1480;1487;1490;1541;1542;1544;1545;1549;1564;1565;1567;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1708;1709;1710;1712;1716;1741;1761;1764;1765;1769;1783;1789;1790;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1956;1957;1958;1959;1960;1961;1964;1986;1987;1989;2005;2011;2015
26,164,1;2;3;4;5;8;13;19;24;26;50;75;221;222;223;224;225;239;244;246;268;269;271;293;317;340;341;367;391;393;442;443;444;445;453;463;464;465;466;469;491;600;609;610;612;616;627;633;635;637;662;664;665;684;685;686;708;820;829;830;832;836;851;855;857;882;883;884;885;889;893;903;905;906;907;908;931;1040;1047;1049;1050;1052;1056;1072;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1269;1270;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1489;1490;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
27,150,1;4;5;8;13;19;24;50;75;99;122;123;128;152;160;163;173;176;184;191;193;194;197;204;212;224;225;239;293;317;340;341;365;367;372;380;389;391;392;393;396;407;411;413;417;444;445;453;463;469;600;609;612;616;627;633;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
28,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
29,130,4;5;8;13;19;128;152;160;163;173;176;184;191;197;204;212;224;225;239;372;380;392;393;396;407;411;417;444;445;453;463;469;600;612;616;627;637;664;665;820;832;836;851;857;884;885;889;893;903;908;1040;1047;1052;1056;1081;1095;1104;1105;1109;1128;1133;1252;1260;1267;1272;1276;1301;1315;1324;1325;1329;1333;1348;1367;1463;1468;1472;1480;1487;1521;1525;1544;1545;1549;1568;1573;1577;1587;1635;1659;1664;1683;1688;1692;1700;1707;1712;1716;1741;1764;1765;1769;1783;1792;1793;1805;1815;1820;1821;1825;1833;1843;1848;1871;1876;1892;1899;1904;1908;1927;1932;1933;1936;1960;1961;1964;1989;2005;2011;2015
