strut_id,junction0,junction1,unit_cell_edge_idx,unit_cell_ids,design_thickness,start_x,start_y,start_z,end_x,end_y,end_z,shaft_sample_count,mask_occupancy,centerline_coverage,raw_ct_score,equivalent_thickness_um,thickness_score,longest_internal_gap_voxels,continuity_score,density_score,otsu_threshold,density_threshold,classification
0,0,9,1,0,0.1,59.339604,52.182893,26.461732,99.028775,91.470245,26.38521,48,0,0,0.016726123,0,0,0,0,0.0050178368,0.40911171,0.35911171,missing
1,1,9,2,0,0.1,138.31618,51.781302,26.527177,99.028775,91.470245,26.38521,45,0.0081632653,0.11111111,0.24529746,111.8034,0.31943828,0,0.11111111,0.17256446,0.40911171,0.35911171,low_density
2,2,9,3,0,0.1,138.71795,130.7576,26.308688,99.028775,91.470245,26.38521,45,0.0022675737,0.044444444,0.14354309,75,0.21428571,0,0.044444444,0.10398129,0.40911171,0.35911171,low_density
3,3,9,0,0,0.1,59.741375,131.15919,26.243243,99.028775,91.470245,26.38521,47,0.0034737299,0.063829787,0.099363127,86.60254,0.24743583,0,0.063829787,0.10228448,0.40911171,0.35911171,low_density
4,0,10,13,0,0.1,59.339604,52.182893,26.461732,59.508323,91.78045,65.841132,43,0.036070242,0.39534884,0.084242588,111.8034,0.31943828,1,0.38615468,0.17387662,0.40911171,0.35911171,low_density
5,3,10,12,0,0.1,59.741375,131.15919,26.243243,59.508323,91.78045,65.841132,49,0.082049146,0.63265306,0.11601417,122.47449,0.34992711,0,0.63265306,0.24179873,0.40911171,0.35911171,low_density
6,4,10,28,0,0.1,59.677042,131.37801,105.22053,59.508323,91.78045,65.841132,37,0.27027027,1,0.31023098,180.27756,0.51507875,0,1,0.45292006,0.40911171,0.35911171,uncertain
7,5,10,29,0,0.1,59.275272,52.401713,105.43902,59.508323,91.78045,65.841132,47,0.25618758,0.9787234,0.27960144,200,0.57142857,1,0.9578995,0.44727877,0.40911171,0.35911171,uncertain
8,0,12,14,0,0.1,59.339604,52.182893,26.461732,98.795723,52.091507,65.983099,43,0.16421452,0.58139535,0.23641341,206.15528,0.58901509,0,0.58139535,0.35465145,0.40911171,0.35911171,low_density
9,1,12,15,0,0.1,138.31618,51.781302,26.527177,98.795723,52.091507,65.983099,43,0.085429521,0.48837209,0.18423979,100,0.28571429,9,0.38615468,0.21025257,0.40911171,0.35911171,broken
10,5,12,30,0,0.1,59.275272,52.401713,105.43902,98.795723,52.091507,65.983099,45,0.011791383,0.066666667,0.015047319,132.28757,0.37796447,42,0.0044444444,0.1032094,0.40911171,0.35911171,broken
11,6,12,31,0,0.1,138.25184,52.000121,105.50447,98.795723,52.091507,65.983099,45,0.57052154,1,0.53004975,264.57513,0.75592895,0,1,0.66915363,0.40911171,0.35911171,present
12,10,8,24,0,0.1,59.508323,91.78045,65.841132,98.964442,91.689064,105.3625,49,0.64972928,1,0.56189909,273.86128,0.7824608,0,1,0.70910371,0.40911171,0.35911171,present
13,10,9,20,0,0.1,59.508323,91.78045,65.841132,99.028775,91.470245,26.38521,49,0.17742607,0.91836735,0.23773843,150,0.42857143,4,0.84339858,0.358202,0.40911171,0.35911171,low_density
14,10,13,4,0,0.1,59.508323,91.78045,65.841132,99.197494,131.0678,65.76461,38,0.28571429,1,0.26439212,158.11388,0.45175395,0,1,0.42797041,0.40911171,0.35911171,uncertain
15,10,12,5,0,0.1,59.508323,91.78045,65.841132,98.795723,52.091507,65.983099,40,0.30765306,1,0.25429246,190.36602,0.54390291,0,1,0.45455938,0.40911171,0.35911171,uncertain
16,11,9,22,0,0.1,138.48489,91.378859,65.906577,99.028775,91.470245,26.38521,49,0.44064973,1,0.49637789,239.79158,0.68511879,0,1,0.60238798,0.40911171,0.35911171,present
17,11,13,7,0,0.1,138.48489,91.378859,65.906577,99.197494,131.0678,65.76461,40,0.38469388,1,0.32027899,190.36602,0.54390291,0,1,0.49746759,0.40911171,0.35911171,present
18,11,8,26,0,0.1,138.48489,91.378859,65.906577,98.964442,91.689064,105.3625,49,0.46980425,1,0.46647976,223.6068,0.63887656,0,1,0.59060434,0.40911171,0.35911171,present
19,12,9,21,0,0.1,98.795723,52.091507,65.983099,99.028775,91.470245,26.38521,35,0.13411079,0.77142857,0.20215671,141.42136,0.40406102,8,0.59510204,0.29116081,0.40911171,0.35911171,low_density
20,12,11,6,0,0.1,98.795723,52.091507,65.983099,138.48489,91.378859,65.906577,39,0.30612245,1,0.28059585,158.11388,0.45175395,0,1,0.43895398,0.40911171,0.35911171,uncertain
21,12,8,25,0,0.1,98.795723,52.091507,65.983099,98.964442,91.689064,105.3625,45,0.43129252,1,0.41315731,212.13203,0.60609153,0,1,0.55485783,0.40911171,0.35911171,present
22,13,8,27,0,0.1,99.197494,131.0678,65.76461,98.964442,91.689064,105.3625,37,0.35135135,1,0.36166032,180.27756,0.51507875,0,1,0.49267319,0.40911171,0.35911171,present
23,13,9,23,0,0.1,99.197494,131.0678,65.76461,99.028775,91.470245,26.38521,44,0.15769944,0.72727273,0.26608117,136.85446,0.39101275,12,0.52892562,0.30422621,0.40911171,0.35911171,broken
24,14,23,1,1,0.1,138.31618,51.781302,26.527177,178.00535,91.068654,26.450654,45,0.0045351474,0.044444444,0.24037533,111.23724,0.3178207,0,0.044444444,0.15959498,0.40911171,0.35911171,low_density
25,15,23,2,1,0.1,217.29275,51.379711,26.592621,178.00535,91.068654,26.450654,41,0.021403683,0.26829268,0.45891989,132.28757,0.37796447,30,0.071980964,0.24938534,0.40911171,0.35911171,broken
26,16,23,3,1,0.1,217.69452,130.35601,26.374132,178.00535,91.068654,26.450654,40,0.00051020408,0.025,0.27424825,50,0.14285714,0,0.025,0.12189182,0.40911171,0.35911171,low_density
27,17,23,0,1,0.1,138.71795,130.7576,26.308688,178.00535,91.068654,26.450654,44,0.0069573284,0.13636364,0.34988676,70.710678,0.20203051,36,0.024793388,0.16127986,0.40911171,0.35911171,broken
28,14,24,13,1,0.1,138.31618,51.781302,26.527177,138.48489,91.378859,65.906577,48,0.19940476,0.70833333,0.31492561,173.20508,0.49487166,14,0.50173611,0.35327744,0.40911171,0.35911171,broken
29,17,24,12,1,0.1,138.71795,130.7576,26.308688,138.48489,91.378859,65.906577,43,0.20835311,0.97674419,0.26824882,150,0.42857143,1,0.9540292,0.39322782,0.40911171,0.35911171,uncertain
30,18,24,28,1,0.1,138.65361,130.97642,105.28598,138.48489,91.378859,65.906577,49,0.4785506,1,0.47676891,217.94495,0.62269985,0,1,0.59227082,0.40911171,0.35911171,present
31,19,24,29,1,0.1,138.25184,52.000121,105.50447,138.48489,91.378859,65.906577,49,0.39067055,1,0.3868031,193.64917,0.55328334,0,1,0.52156293,0.40911171,0.35911171,present
32,14,26,14,1,0.1,138.31618,51.781302,26.527177,177.77229,51.689916,66.048544,47,0.28180634,1,0.36069921,212.13203,0.60609153,0,1,0.49427455,0.40911171,0.35911171,present
33,15,26,15,1,0.1,217.29275,51.379711,26.592621,177.77229,51.689916,66.048544,40,0.24897959,0.95,0.30849893,180.27756,0.51507875,2,0.9025,0.43138824,0.40911171,0.35911171,uncertain
34,19,26,30,1,0.1,138.25184,52.000121,105.50447,177.77229,51.689916,66.048544,45,0.45351474,1,0.4431335,234.52079,0.67005939,0,1,0.58650932,0.40911171,0.35911171,present
35,20,26,31,1,0.1,217.22841,51.59853,105.56991,177.77229,51.689916,66.048544,49,0.5635152,1,0.52939896,259.80762,0.74230749,0,1,0.66345112,0.40911171,0.35911171,present
36,24,22,24,1,0.1,138.48489,91.378859,65.906577,177.94101,91.287473,105.42794,49,0.70262391,1,0.63497206,287.22813,0.82065181,0,1,0.75644174,0.40911171,0.35911171,present
37,24,23,20,1,0.1,138.48489,91.378859,65.906577,178.00535,91.068654,26.450654,49,0.34735527,1,0.39865647,200,0.57142857,0,1,0.51666067,0.40911171,0.35911171,present
38,24,27,4,1,0.1,138.48489,91.378859,65.906577,178.17406,130.66621,65.830055,47,0.2913591,1,0.25758103,150,0.42857143,0,1,0.4218249,0.40911171,0.35911171,uncertain
39,24,26,5,1,0.1,138.48489,91.378859,65.906577,177.77229,51.689916,66.048544,47,0.41728181,1,0.34511715,206.15528,0.58901509,0,1,0.52597346,0.40911171,0.35911171,present
40,25,23,22,1,0.1,217.46146,90.977268,65.972022,178.00535,91.068654,26.450654,49,0.49937526,1,0.56509518,250,0.71428571,0,1,0.64791256,0.40911171,0.35911171,present
41,25,27,7,1,0.1,217.46146,90.977268,65.972022,178.17406,130.66621,65.830055,48,0.39753401,1,0.33314588,193.64917,0.55328334,0,1,0.5075248,0.40911171,0.35911171,present
42,25,22,26,1,0.1,217.46146,90.977268,65.972022,177.94101,91.287473,105.42794,49,0.42607247,1,0.41829095,223.6068,0.63887656,0,1,0.56302817,0.40911171,0.35911171,present
43,26,23,21,1,0.1,177.77229,51.689916,66.048544,178.00535,91.068654,26.450654,48,0.23979592,1,0.302556,165.83124,0.47380354,0,1,0.43115646,0.40911171,0.35911171,uncertain
44,26,25,6,1,0.1,177.77229,51.689916,66.048544,217.46146,90.977268,65.972022,45,0.35238095,1,0.28627775,180.27756,0.51507875,0,1,0.4703673,0.40911171,0.35911171,present
45,26,22,25,1,0.1,177.77229,51.689916,66.048544,177.94101,91.287473,105.42794,46,0.53460515,1,0.52030381,239.79158,0.68511879,0,1,0.63775239,0.40911171,0.35911171,present
46,27,22,27,1,0.1,178.17406,130.66621,65.830055,177.94101,91.287473,105.42794,49,0.41357768,1,0.41860778,206.15528,0.58901509,0,1,0.54690941,0.40911171,0.35911171,present
47,27,23,23,1,0.1,178.17406,130.66621,65.830055,178.00535,91.068654,26.450654,47,0.24229266,0.87234043,0.38723019,173.20508,0.49487166,5,0.77953825,0.42950551,0.40911171,0.35911171,uncertain
48,28,37,1,2,0.1,217.29275,51.379711,26.592621,256.98192,90.667063,26.516099,40,0.0010204082,0.05,0.36795221,50,0.14285714,38,0.0025,0.14678107,0.40911171,0.35911171,broken
49,29,37,2,2,0.1,296.26932,50.97812,26.658066,256.98192,90.667063,26.516099,49,0.024989588,0.71428571,0.54914715,122.47449,0.34992711,14,0.51020408,0.33625341,0.40911171,0.35911171,broken
50,30,37,3,2,0.1,296.67109,129.95441,26.439577,256.98192,90.667063,26.516099,49,0.0045814244,0.06122449,0.36259338,100,0.28571429,0,0.06122449,0.19076469,0.40911171,0.35911171,low_density
51,31,37,0,2,0.1,217.69452,130.35601,26.374132,256.98192,90.667063,26.516099,41,0.018417123,0.26829268,0.41867769,50,0.14285714,30,0.071980964,0.17763987,0.40911171,0.35911171,broken
52,28,38,13,2,0.1,217.29275,51.379711,26.592621,217.46146,90.977268,65.972022,39,0.23704867,0.82051282,0.38510846,193.64917,0.55328334,7,0.67324129,0.42595416,0.40911171,0.35911171,uncertain
53,31,38,12,2,0.1,217.69452,130.35601,26.374132,217.46146,90.977268,65.972022,42,0.27259475,1,0.34731951,176.74132,0.50497521,0,1,0.46221808,0.40911171,0.35911171,present
54,32,38,28,2,0.1,217.63018,130.57483,105.35142,217.46146,90.977268,65.972022,39,0.51596023,1,0.52120649,234.52079,0.67005939,0,1,0.62866487,0.40911171,0.35911171,present
55,33,38,29,2,0.1,217.22841,51.59853,105.56991,217.46146,90.977268,65.972022,36,0.39229025,1,0.39701463,212.13203,0.60609153,0,1,0.53831435,0.40911171,0.35911171,present
56,28,40,14,2,0.1,217.29275,51.379711,26.592621,256.74887,51.288325,66.113988,49,0.26488963,1,0.33774817,187.08287,0.53452248,0,1,0.46442196,0.40911171,0.35911171,present
57,29,40,15,2,0.1,296.26932,50.97812,26.658066,256.74887,51.288325,66.113988,38,0.28571429,1,0.3609994,200,0.57142857,0,1,0.48687125,0.40911171,0.35911171,present
58,33,40,30,2,0.1,217.22841,51.59853,105.56991,256.74887,51.288325,66.113988,41,0.39422598,1,0.38619473,229.12878,0.65465367,0,1,0.54778963,0.40911171,0.35911171,present
59,34,40,31,2,0.1,296.20498,51.196939,105.63536,256.74887,51.288325,66.113988,49,0.44106622,1,0.43775947,234.52079,0.67005939,0,1,0.58116256,0.40911171,0.35911171,present
60,38,36,24,2,0.1,217.46146,90.977268,65.972022,256.91758,90.885882,105.49339,49,0.63182007,1,0.58842335,269.25824,0.76930926,0,1,0.70840034,0.40911171,0.35911171,present
61,38,37,20,2,0.1,217.46146,90.977268,65.972022,256.98192,90.667063,26.516099,49,0.42857143,1,0.50584861,223.6068,0.63887656,0,1,0.59004515,0.40911171,0.35911171,present
62,38,41,4,2,0.1,217.46146,90.977268,65.972022,257.15064,130.26462,65.895499,47,0.35171515,1,0.28138851,173.20508,0.49487166,0,1,0.46364901,0.40911171,0.35911171,present
63,38,40,5,2,0.1,217.46146,90.977268,65.972022,256.74887,51.288325,66.113988,46,0.44543035,1,0.34989294,212.13203,0.60609153,0,1,0.54011987,0.40911171,0.35911171,present
64,39,37,22,2,0.1,296.43804,90.575677,66.037466,256.98192,90.667063,26.516099,49,0.49604332,1,0.56958233,244.94897,0.69985421,0,1,0.64465125,0.40911171,0.35911171,present
65,39,41,7,2,0.1,296.43804,90.575677,66.037466,257.15064,130.26462,65.895499,43,0.4043664,1,0.33250767,193.64917,0.55328334,0,1,0.50938306,0.40911171,0.35911171,present
66,39,36,26,2,0.1,296.43804,90.575677,66.037466,256.91758,90.885882,105.49339,49,0.53269471,1,0.51525501,244.94897,0.69985421,0,1,0.63934847,0.40911171,0.35911171,present
67,40,37,21,2,0.1,256.74887,51.288325,66.113988,256.98192,90.667063,26.516099,47,0.26096396,1,0.33454656,173.20508,0.49487166,0,1,0.45237107,0.40911171,0.35911171,uncertain
68,40,39,6,2,0.1,256.74887,51.288325,66.113988,296.43804,90.575677,66.037466,47,0.36951802,1,0.28695634,187.08287,0.53452248,0,1,0.48057293,0.40911171,0.35911171,present
69,40,36,25,2,0.1,256.74887,51.288325,66.113988,256.91758,90.885882,105.49339,47,0.572297,1,0.54385926,250,0.71428571,0,1,0.66341831,0.40911171,0.35911171,present
70,41,36,27,2,0.1,257.15064,130.26462,65.895499,256.91758,90.885882,105.49339,47,0.41901867,1,0.42215732,206.15528,0.58901509,0,1,0.54960657,0.40911171,0.35911171,present
71,41,37,23,2,0.1,257.15064,130.26462,65.895499,256.98192,90.667063,26.516099,45,0.35782313,1,0.45623199,206.15528,0.58901509,0,1,0.54147031,0.40911171,0.35911171,present
72,42,51,1,3,0.1,296.26932,50.97812,26.658066,335.95849,90.265472,26.581544,49,0.0029154519,0.46938776,0.49876758,50,0.14285714,26,0.22032486,0.21926793,0.40911171,0.35911171,broken
73,43,51,2,3,0.1,375.24589,50.576529,26.723511,335.95849,90.265472,26.581544,37,0.014892443,0.91891892,0.58267311,158.11388,0.45175395,2,0.86924763,0.4225953,0.40911171,0.35911171,uncertain
74,44,51,3,3,0.1,375.64766,129.55282,26.505022,335.95849,90.265472,26.581544,40,0.0076530612,0.175,0.42615455,86.60254,0.24743583,30,0.04375,0.19856374,0.40911171,0.35911171,broken
75,45,51,0,3,0.1,296.67109,129.95441,26.439577,335.95849,90.265472,26.581544,49,0.017076218,0.20408163,0.44964485,122.47449,0.34992711,6,0.17909204,0.2543619,0.40911171,0.35911171,low_density
76,42,52,13,3,0.1,296.26932,50.97812,26.658066,296.43804,90.575677,66.037466,49,0.32778009,0.87755102,0.45153841,212.13203,0.60609153,6,0.77009579,0.5008328,0.40911171,0.35911171,present
77,45,52,12,3,0.1,296.67109,129.95441,26.439577,296.43804,90.575677,66.037466,49,0.30403998,1,0.39828732,193.64917,0.55328334,0,1,0.49901902,0.40911171,0.35911171,present
78,46,52,28,3,0.1,296.60675,130.17323,105.41687,296.43804,90.575677,66.037466,48,0.54804422,1,0.52125931,239.79158,0.68511879,0,1,0.64207076,0.40911171,0.35911171,present
79,47,52,29,3,0.1,296.20498,51.196939,105.63536,296.43804,90.575677,66.037466,47,0.42683456,1,0.4186079,217.94495,0.62269985,0,1,0.5593077,0.40911171,0.35911171,present
80,42,54,14,3,0.1,296.26932,50.97812,26.658066,335.72544,50.886734,66.179433,49,0.2786339,1,0.35422018,193.64917,0.55328334,0,1,0.47817706,0.40911171,0.35911171,present
81,43,54,15,3,0.1,375.24589,50.576529,26.723511,335.72544,50.886734,66.179433,37,0.24158853,0.94594595,0.36391455,165.83124,0.47380354,2,0.89481373,0.43432387,0.40911171,0.35911171,uncertain
82,47,54,30,3,0.1,296.20498,51.196939,105.63536,335.72544,50.886734,66.179433,41,0.51020408,1,0.50505107,250,0.71428571,0,1,0.63314797,0.40911171,0.35911171,present
83,48,54,31,3,0.1,375.18155,50.795348,105.7008,335.72544,50.886734,66.179433,49,0.39233653,1,0.37981552,212.13203,0.60609153,0,1,0.5331685,0.40911171,0.35911171,present
84,52,50,24,3,0.1,296.43804,90.575677,66.037466,335.89415,90.484291,105.55883,49,0.57184506,1,0.54738023,254.95098,0.72843136,0,1,0.66787543,0.40911171,0.35911171,present
85,52,51,20,3,0.1,296.43804,90.575677,66.037466,335.95849,90.265472,26.581544,49,0.55601833,1,0.60206985,254.95098,0.72843136,0,1,0.67953429,0.40911171,0.35911171,present
86,52,55,4,3,0.1,296.43804,90.575677,66.037466,336.12721,129.86303,65.960944,38,0.31954887,1,0.26001578,158.11388,0.45175395,0,1,0.43680788,0.40911171,0.35911171,uncertain
87,52,54,5,3,0.1,296.43804,90.575677,66.037466,335.72544,50.886734,66.179433,43,0.44803037,1,0.35745987,206.15528,0.58901509,0,1,0.53890085,0.40911171,0.35911171,present
88,53,51,22,3,0.1,375.41461,90.174086,66.102911,335.95849,90.265472,26.581544,49,0.40733028,1,0.5139306,217.94495,0.62269985,0,1,0.58205323,0.40911171,0.35911171,present
89,53,55,7,3,0.1,375.41461,90.174086,66.102911,336.12721,129.86303,65.960944,44,0.40120594,1,0.33365435,190.36602,0.54390291,0,1,0.50643381,0.40911171,0.35911171,present
90,53,50,26,3,0.1,375.41461,90.174086,66.102911,335.89415,90.484291,105.55883,49,0.5697626,1,0.53256024,264.57513,0.75592895,0,1,0.66967909,0.40911171,0.35911171,present
91,54,51,21,3,0.1,335.72544,50.886734,66.179433,335.95849,90.265472,26.581544,36,0.23809524,1,0.33107956,180.27756,0.51507875,0,1,0.44952213,0.40911171,0.35911171,uncertain
92,54,53,6,3,0.1,335.72544,50.886734,66.179433,375.41461,90.174086,66.102911,38,0.34747583,1,0.26803673,173.20508,0.49487166,0,1,0.45837168,0.40911171,0.35911171,uncertain
93,54,50,25,3,0.1,335.72544,50.886734,66.179433,335.89415,90.484291,105.55883,43,0.52491694,1,0.49217372,234.52079,0.67005939,0,1,0.62264205,0.40911171,0.35911171,present
94,55,50,27,3,0.1,336.12721,129.86303,65.960944,335.89415,90.484291,105.55883,37,0.38940982,1,0.38615028,193.64917,0.55328334,0,1,0.52098886,0.40911171,0.35911171,present
95,55,51,23,3,0.1,336.12721,129.86303,65.960944,335.95849,90.265472,26.581544,45,0.34920635,1,0.45152864,212.13203,0.60609153,0,1,0.54174338,0.40911171,0.35911171,present
96,56,65,1,4,0.1,375.24589,50.576529,26.723511,414.93506,89.863881,26.646988,42,0.0014577259,0.97619048,0.56547412,86.60254,0.24743583,1,0.95294785,0.37488069,0.40911171,0.35911171,uncertain
97,57,65,2,4,0.1,454.22246,50.174938,26.788955,414.93506,89.863881,26.646988,49,0.016659725,1,0.64526857,122.47449,0.34992711,0,1,0.43606027,0.40911171,0.35911171,uncertain
98,58,65,3,4,0.1,454.62423,129.15123,26.570466,414.93506,89.863881,26.646988,45,0.0077097506,0.22222222,0.45065884,86.60254,0.24743583,35,0.049382716,0.20677694,0.40911171,0.35911171,broken
99,59,65,0,4,0.1,375.64766,129.55282,26.505022,414.93506,89.863881,26.646988,37,0.0137893,0.16216216,0.46156819,100,0.28571429,1,0.1577794,0.23770273,0.40911171,0.35911171,low_density
100,56,66,13,4,0.1,375.24589,50.576529,26.723511,375.41461,90.174086,66.102911,36,0.29138322,0.83333333,0.40081336,212.13203,0.60609153,6,0.69444444,0.46334852,0.40911171,0.35911171,present
101,59,66,12,4,0.1,375.64766,129.55282,26.505022,375.41461,90.174086,66.102911,42,0.32215743,1,0.41708148,193.64917,0.55328334,0,1,0.51009251,0.40911171,0.35911171,present
102,60,66,28,4,0.1,375.58333,129.77164,105.48231,375.41461,90.174086,66.102911,43,0.45752254,1,0.45268311,212.13203,0.60609153,0,1,0.57458458,0.40911171,0.35911171,present
103,61,66,29,4,0.1,375.18155,50.795348,105.7008,375.41461,90.174086,66.102911,49,0.40649729,1,0.40022239,206.15528,0.58901509,0,1,0.53926968,0.40911171,0.35911171,present
104,56,68,14,4,0.1,375.24589,50.576529,26.723511,414.70201,50.485143,66.244878,49,0.2182424,1,0.32407146,173.20508,0.49487166,0,1,0.43641207,0.40911171,0.35911171,uncertain
105,57,68,15,4,0.1,454.22246,50.174938,26.788955,414.70201,50.485143,66.244878,33,0.35683364,1,0.42561127,200,0.57142857,0,1,0.52759062,0.40911171,0.35911171,present
