unit_cell_id,index_x,index_y,index_z,strut_count,mean_density_score,minimum_density_score,present_count,uncertain_count,low_density_count,broken_count,missing_count
0,0,0,0,24,0.36496486,0.0050178368,7,5,8,3,1
1,1,0,0,24,0.46596548,0.12189182,14,5,2,3,0
2,2,0,0,24,0.49041134,0.14678107,18,2,1,3,0
3,3,0,0,24,0.50205788,0.19856374,16,5,1,2,0
4,4,0,0,24,0.48604205,0.20677694,15,7,1,1,0
5,5,0,0,24,0.45427025,0.25851605,8,11,5,0,0
6,6,0,0,24,0.42300317,0.26674628,4,10,9,1,0
7,7,0,0,24,0.36261937,0.1675758,4,7,11,2,0
8,8,0,0,28,0.22730106,0.0027251219,2,3,12,7,4
9,0,1,0,24,0.3981324,0.01595706,9,6,7,1,1
10,1,1,0,24,0.46365348,0.073347613,16,4,2,2,0
11,2,1,0,24,0.48455444,0.038765992,17,3,3,0,1
12,3,1,0,24,0.47961316,0.047426096,18,2,1,0,3
13,4,1,0,24,0.45367213,0.044697351,14,6,1,0,3
14,5,1,0,24,0.42526154,0.051765099,8,10,4,0,2
15,6,1,0,24,0.3984651,0.10559574,4,9,9,1,1
16,7,1,0,24,0.33703011,0.1357444,4,0,12,8,0
17,8,1,0,28,0.25445336,0.00083123708,4,3,6,12,3
18,0,2,0,24,0.38079251,0.024578022,7,8,7,1,1
19,1,2,0,24,0.44829058,0.063221612,13,6,4,1,0
20,2,2,0,24,0.46004481,0.013227613,16,4,1,0,3
21,3,2,0,24,0.46166145,0.016858026,17,3,0,0,4
22,4,2,0,24,0.44581631,0.016237153,14,6,0,0,4
23,5,2,0,24,0.40304458,0.01843733,8,9,3,0,4
24,6,2,0,24,0.37686071,0.034413519,4,8,7,1,4
25,7,2,0,24,0.32349941,0.086162162,4,1,12,5,2
26,8,2,0,28,0.26019463,0.00090470183,4,2,6,12,4
27,0,3,0,24,0.35515528,0.029602732,6,8,5,3,2
28,1,3,0,24,0.44598823,0.05977689,9,11,3,1,0
29,2,3,0,24,0.44442339,0.0097773545,16,4,1,0,3
30,3,3,0,24,0.43950838,0.0070024349,16,3,1,0,4
31,4,3,0,24,0.42557143,0.0073481298,15,3,2,0,4
32,5,3,0,24,0.4036851,0.0087149264,10,7,3,0,4
33,6,3,0,24,0.36714743,0.020395959,4,10,6,0,4
34,7,3,0,24,0.31108149,0.071429611,4,4,10,4,2
35,8,3,0,28,0.26990161,0.00031723286,4,3,6,12,3
36,0,4,0,24,0.34627442,0.041928837,5,9,8,1,1
37,1,4,0,24,0.44354904,0.064341358,11,8,4,1,0
38,2,4,0,24,0.42576976,0.010500785,14,5,1,1,3
39,3,4,0,24,0.42831285,0.0065542613,16,4,0,0,4
40,4,4,0,24,0.41193015,0.0064299181,15,1,4,0,4
41,5,4,0,24,0.39251472,0.0093210572,9,7,4,0,4
42,6,4,0,24,0.36549089,0.022588152,4,8,7,1,4
43,7,4,0,24,0.32625919,0.066053673,4,4,9,5,2
44,8,4,0,28,0.28403019,6.4226597e-05,3,5,7,11,2
45,0,5,0,24,0.33461505,0.044347803,5,6,8,2,3
46,1,5,0,24,0.41391639,0.014009644,10,8,2,0,4
47,2,5,0,24,0.41843398,0.0068990904,14,6,0,0,4
48,3,5,0,24,0.41534508,0.0022658184,14,5,0,1,4
49,4,5,0,24,0.40389646,0.0049247221,13,4,3,0,4
50,5,5,0,24,0.38053804,0.011272759,8,8,4,0,4
51,6,5,0,24,0.35208405,0.024873906,5,5,8,2,4
52,7,5,0,24,0.32076924,0.082494055,5,3,8,6,2
53,8,5,0,28,0.30479187,7.6058495e-06,3,7,6,10,2
54,0,6,0,24,0.34540231,0.057334678,5,6,10,2,1
55,1,6,0,24,0.4068382,0.017790342,10,8,3,0,3
56,2,6,0,24,0.41890806,0.0047533493,13,7,0,0,4
57,3,6,0,24,0.42236497,0.0030592783,14,6,0,0,4
58,4,6,0,24,0.40583838,0.0037899939,13,5,2,0,4
59,5,6,0,24,0.37937365,0.0059353278,8,7,5,0,4
60,6,6,0,24,0.34792547,0.024637917,8,2,8,2,4
61,7,6,0,24,0.32030962,0.089144105,6,2,7,7,2
62,8,6,0,28,0.31493611,0,3,8,5,10,2
63,0,7,0,24,0.31430032,0.042720424,5,4,10,3,2
64,1,7,0,24,0.38058136,0.019319633,9,4,10,0,1
65,2,7,0,24,0.39945206,0.005933035,11,6,3,0,4
66,3,7,0,24,0.40685297,0.0044222997,14,3,3,0,4
67,4,7,0,24,0.39609978,0.0059051802,11,7,2,0,4
68,5,7,0,24,0.36735775,0.011935413,8,5,7,0,4
69,6,7,0,24,0.34160401,0.036440772,7,3,9,1,4
70,7,7,0,24,0.30682619,0.10777459,7,1,10,5,1
71,8,7,0,28,0.33249702,6.9510621e-05,3,9,4,10,2
72,0,8,0,28,0.24116812,0,3,4,12,2,7
